date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:16	68317/68317	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Dec%202024%2017:44:15%20GMT	https://www.roblox.com/.	G:/mipagina/PaginaClonada/www.roblox.com/.html	(from )
14:44:16	667/667	---M--	200	added ('OK')	text/plain	etag:%221db3ab9c110659b%22	https://www.roblox.com/robots.txt		(from )
14:44:17	8743/8743	---M--	200	added ('OK')	image/png	etag:%227c5fe83dffa97250aaddd54178900ea7%22	https://images.rbxcdn.com/7c5fe83dffa97250aaddd54178900ea7.png	G:/mipagina/PaginaClonada/images.rbxcdn.com/7c5fe83dffa97250aaddd54178900ea7.png	(from https://www.roblox.com/.)
14:44:18	79485/79485	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Dec%202024%2017:44:17%20GMT	https://www.roblox.com/GET	G:/mipagina/PaginaClonada/www.roblox.com/GET.2.delayed	(from https://www.roblox.com/.)
14:44:19	78656/78656	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Dec%202024%2017:44:18%20GMT	https://www.roblox.com/POST	G:/mipagina/PaginaClonada/www.roblox.com/POST.3.delayed	(from https://www.roblox.com/.)
14:44:19	871209/871209	---MCZ	200	added ('OK')	text/css	etag:%22b734e11bc38a2a64e02e61d5756b0e89%22	https://css.rbxcdn.com/4b6b27d98e2c26f64ae53c2073ae9be982e055657a26519bbf962a21e0abec29.css	G:/mipagina/PaginaClonada/css.rbxcdn.com/4b6b27d98e2c26f64ae53c2073ae9be982e055657a26519bbf962a21e0abec29.css	(from https://www.roblox.com/.)
14:44:19	20448/20448	---M-Z	200	added ('OK')	text/css	etag:%222d9cdd35d81d6b3c1acce1caa6f7597d%22	https://css.rbxcdn.com/8fa43545250dfbd7d96d164fe24e886391fdccc9b87b0dc91ce78933aebcda43.css	G:/mipagina/PaginaClonada/css.rbxcdn.com/8fa43545250dfbd7d96d164fe24e886391fdccc9b87b0dc91ce78933aebcda43.css	(from https://www.roblox.com/.)
14:44:19	783/783	---M--	200	added ('OK')	text/css	etag:%22e1a3a1181eb36bc3251d844d250a3760%22	https://css.rbxcdn.com/d8d1cfe6a81efdc0eaa7a64ddeec42230944f4e6330e5eafafcda10cf9e5286a.css	G:/mipagina/PaginaClonada/css.rbxcdn.com/d8d1cfe6a81efdc0eaa7a64ddeec42230944f4e6330e5eafafcda10cf9e5286a.css	(from https://www.roblox.com/.)
14:44:20	249/249	---M--	200	added ('OK')	text/css	etag:%224822b35d6907be7deb782a70cd7d8ac2%22	https://css.rbxcdn.com/b8f8f15a57a66e73469ae72eea7d8905346afa78b9f2397627cd099f7dcc779a.css	G:/mipagina/PaginaClonada/css.rbxcdn.com/b8f8f15a57a66e73469ae72eea7d8905346afa78b9f2397627cd099f7dcc779a.css	(from https://www.roblox.com/.)
14:44:20	2600/2600	---M-Z	200	added ('OK')	text/css	etag:%22841d0e206da11f1223042a23f4c414e8%22	https://css.rbxcdn.com/66b2fd496e668938e3b0e2d9a0c12f9f88c3a1a4974608f69059d8061fc0141f.css	G:/mipagina/PaginaClonada/css.rbxcdn.com/66b2fd496e668938e3b0e2d9a0c12f9f88c3a1a4974608f69059d8061fc0141f.css	(from https://www.roblox.com/.)
